seed,condition,facts,item,depth,stem,correct,wrong,margin
0,cold,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.682166576385498
0,cold,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,0.017179489135742188
0,cold,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.9990577697753906
0,cold,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.5709123611450195
0,cold,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.0764870643615723
0,cold,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.379014015197754
0,cold,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.6683259010314941
0,cold,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.14377641677856445
0,cold,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.4466986656188965
0,cold,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.29556703567504883
0,cold,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.14472150802612305
0,cold,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.5375185012817383
0,cold,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,19.325564353493974
0,cold,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,17.199861937435344
0,cold,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,19.113390761893243
0,cold,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,18.34771822951734
0,cold,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,17.851705121342093
0,cold,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,19.111602811375633
0,cold,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,16.981071876129135
0,cold,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,17.59162599593401
0,cold,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,19.119592981762253
0,cold,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,19.30130766547518
0,cold,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,20.909959942218848
0,cold,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,18.617202662164345
0,warm,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.2237672805786133
0,warm,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.04877328872680664
0,warm,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.6614375114440918
0,warm,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.8532543182373047
0,warm,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,0.9190464019775391
0,warm,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.3185853958129883
0,warm,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.7647056579589844
