seed,alpha,item,depth,stem,correct,wrong,cold,warm,mismatched,coldB,warmB,mismB
0,1.0,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.5950465202331543,-0.8384096622467041,-1.633833646774292,18.50496676657349,20.600008636713028,19.991005345247686
0,1.0,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.3632068634033203,0.059273719787597656,-0.41290855407714844,16.25467875925824,17.051624113693833,15.89407145883888
0,1.0,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.5309038162231445,0.7316641807556152,0.5395245552062988,18.13429274316877,18.834185503423214,17.430407533422112
0,1.0,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.20026516914367676,-1.1899020671844482,-1.1304855346679688,17.340350719634444,19.184921427979134,18.989605562062934
0,1.0,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.5560431480407715,1.4915928840637207,0.6984691619873047,16.813822189113125,17.870693205855787,17.048145320732147
0,1.0,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.4515595436096191,1.4247641563415527,1.8994841575622559,18.30434740241617,20.516189120244235,19.59716098429635
0,1.0,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.7260069847106934,2.4230446815490723,1.6004953384399414,16.89835749519989,17.26147378771566,18.220261839102022
0,1.0,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,0.04145526885986328,-0.6629738807678223,-0.5393214225769043,16.646538101136684,16.05306659755297,15.818610728019848
0,1.0,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.7005805969238281,0.9465179443359375,0.9409327507019043,18.616102452739142,18.50296880386304,18.72621448728023
0,1.0,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.509857177734375,-0.2095651626586914,-0.15021514892578125,18.909277947503142,19.840642674127594,19.6984872421599
0,1.0,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.5523252487182617,1.3096318244934082,0.21845293045043945,22.414652718347497,21.461647325195372,21.461461728438735
